soil type;rootzone thickness (cm);groundwater level (meter below surface);root zone soil moisture storage in equilibrium conditions (mm);potential capillary rise (mm/day);storage coefficient (m/m)
36;20;1.8;54.8;0.969;0.092
36;20;1.9;54.2;0.862;0.097
36;20;2;53.7;0.771;0.101
36;20;2.1;53.2;0.692;0.104
36;20;2.2;52.7;0.624;0.108
36;20;2.3;52.2;0.565;0.111
36;20;2.4;51.7;0.513;0.115
36;20;2.5;51.3;0.468;0.118
36;20;3;49.3;0.306;0.132
36;20;4;46.1;0.15;0.154
36;20;5;43.7;0.082;0.17
36;20;10;36.7;0.005;0.213
36;30;0;104.4;5;0.01
36;30;0.1;104;5;0.01
36;30;0.2;103.3;5;0.01
36;30;0.3;102.2;5;0.01
36;30;0.4;100.9;5;0.01
36;30;0.5;99.4;5;0.013
36;30;0.6;97.9;5;0.019
36;30;0.7;96.3;5;0.026
36;30;0.8;94.8;5;0.033
36;30;0.9;93.3;5;0.04
36;30;1;91.9;3.957;0.046
36;30;1.1;90.6;3.199;0.052
36;30;1.2;89.3;2.637;0.058
36;30;1.3;88.1;2.21;0.064
36;30;1.4;86.9;1.875;0.069
36;30;1.5;85.8;1.609;0.075
36;30;1.6;84.7;1.394;0.08
36;30;1.7;83.7;1.218;0.084
36;30;1.8;82.7;1.071;0.089
36;30;1.9;81.8;0.948;0.093
36;30;2;80.9;0.844;0.097
36;30;2.1;80;0.755;0.101
36;30;2.2;79.2;0.679;0.105
36;30;2.3;78.4;0.612;0.108
36;30;2.4;77.6;0.555;0.112
36;30;2.5;76.9;0.504;0.115
36;30;3;73.6;0.326;0.13
36;30;4;68.5;0.159;0.152
36;30;5;64.7;0.086;0.169
36;30;10;53.7;0.005;0.212
36;40;0;141.2;5;0.01
36;40;0.1;140.8;5;0.01
36;40;0.2;140.1;5;0.01
36;40;0.3;139;5;0.01
36;40;0.4;137.3;5;0.01
36;40;0.5;135.5;5;0.01
36;40;0.6;133.4;5;0.013
36;40;0.7;131.2;5;0.019
36;40;0.8;129;5;0.026
36;40;0.9;126.9;5;0.033
36;40;1;124.8;5;0.04
36;40;1.1;122.8;3.957;0.046
36;40;1.2;120.9;3.199;0.052
36;40;1.3;119;2.637;0.058
36;40;1.4;117.3;2.21;0.064
36;40;1.5;115.6;1.875;0.069
36;40;1.6;114;1.609;0.075
36;40;1.7;112.5;1.394;0.08
36;40;1.8;111.1;1.218;0.084
36;40;1.9;109.7;1.071;0.089
36;40;2;108.4;0.948;0.093
36;40;2.1;107.1;0.844;0.097
36;40;2.2;105.9;0.755;0.101
36;40;2.3;104.7;0.679;0.105
36;40;2.4;103.6;0.612;0.108
36;40;2.5;102.5;0.555;0.112
36;40;3;97.7;0.354;0.127
36;40;4;90.3;0.169;0.15
36;40;5;84.7;0.091;0.167
36;40;10;69.3;0.005;0.212
36;50;0;178;5;0.01
36;50;0.1;177.6;5;0.01
36;50;0.2;176.9;5;0.01
36;50;0.3;175.8;5;0.01
36;50;0.4;174.1;5;0.01
36;50;0.5;171.9;5;0.01
36;50;0.6;169.4;5;0.01
36;50;0.7;166.7;5;0.013
36;50;0.8;163.9;5;0.019
36;50;0.9;161;5;0.026
36;50;1;158.3;5;0.033
36;50;1.1;155.6;5;0.04
36;50;1.2;153.1;3.957;0.046
36;50;1.3;150.6;3.199;0.052
36;50;1.4;148.3;2.637;0.058
36;50;1.5;146;2.21;0.064
36;50;1.6;143.9;1.875;0.069
36;50;1.7;141.9;1.609;0.075
36;50;1.8;139.9;1.394;0.08
36;50;1.9;138.1;1.218;0.084
36;50;2;136.3;1.071;0.089
36;50;2.1;134.6;0.948;0.093
36;50;2.2;133;0.844;0.097
36;50;2.3;131.4;0.755;0.101
36;50;2.4;129.9;0.679;0.105
36;50;2.5;128.5;0.612;0.108
36;50;3;122.1;0.385;0.124
36;50;4;112.3;0.181;0.148
36;50;5;105;0.097;0.166
36;50;10;84.9;0.006;0.211
36;60;0;214.8;5;0.01
36;60;0.1;214.4;5;0.01
36;60;0.2;213.7;5;0.01
36;60;0.3;212.6;5;0.01
36;60;0.4;210.9;5;0.01
36;60;0.5;208.7;5;0.01
36;60;0.6;205.8;5;0.01
36;60;0.7;202.7;5;0.01
36;60;0.8;199.4;5;0.013
36;60;0.9;195.9;5;0.019
36;60;1;192.5;5;0.026
36;60;1.1;189.1;5;0.033
36;60;1.2;185.9;5;0.04
36;60;1.3;182.8;3.957;0.046
36;60;1.4;179.8;3.199;0.052
36;60;1.5;177;2.637;0.058
36;60;1.6;174.3;2.21;0.064
36;60;1.7;171.7;1.875;0.069
36;60;1.8;169.3;1.609;0.075
36;60;1.9;166.9;1.394;0.08
36;60;2;164.7;1.218;0.084
36;60;2.1;162.5;1.071;0.089
36;60;2.2;160.5;0.948;0.093
36;60;2.3;158.5;0.844;0.097
36;60;2.4;156.6;0.755;0.101
36;60;2.5;154.8;0.679;0.105
36;60;3;146.8;0.42;0.121
36;60;4;134.5;0.194;0.146
36;60;5;125.4;0.103;0.164
36;60;10;100.6;0.006;0.21
36;70;0;251.6;5;0.01
36;70;0.1;251.2;5;0.01
36;70;0.2;250.5;5;0.01
36;70;0.3;249.4;5;0.01
36;70;0.4;247.7;5;0.01
36;70;0.5;245.5;5;0.01
36;70;0.6;242.6;5;0.01
36;70;0.7;239.1;5;0.01
36;70;0.8;235.4;5;0.01
36;70;0.9;231.4;5;0.013
36;70;1;227.3;5;0.019
36;70;1.1;223.3;5;0.026
36;70;1.2;219.4;5;0.033
36;70;1.3;215.7;5;0.04
36;70;1.4;212;3.957;0.046
36;70;1.5;208.6;3.199;0.052
36;70;1.6;205.3;2.637;0.058
36;70;1.7;202.1;2.21;0.064
36;70;1.8;199.1;1.875;0.069
36;70;1.9;196.3;1.609;0.075
36;70;2;193.5;1.394;0.08
36;70;2.1;190.9;1.218;0.084
36;70;2.2;188.4;1.071;0.089
36;70;2.3;186;0.948;0.093
36;70;2.4;183.7;0.844;0.097
36;70;2.5;181.5;0.755;0.101
36;70;3;171.8;0.46;0.118
36;70;4;156.9;0.208;0.144
36;70;5;145.9;0.109;0.163
36;70;10;116.4;0.007;0.21
36;80;0;288.4;5;0.01
36;80;0.1;288;5;0.01
36;80;0.2;287.3;5;0.01
36;80;0.3;286.2;5;0.01
36;80;0.4;284.5;5;0.01
36;80;0.5;282.3;5;0.01
36;80;0.6;279.4;5;0.01
36;80;0.7;275.9;5;0.01
36;80;0.8;271.8;5;0.01
36;80;0.9;267.4;5;0.01
36;80;1;262.8;5;0.013
36;80;1.1;258.2;5;0.019
36;80;1.2;253.6;5;0.026
36;80;1.3;249.2;5;0.033
36;80;1.4;244.9;5;0.04
36;80;1.5;240.8;3.957;0.046
36;80;1.6;236.9;3.199;0.052
36;80;1.7;233.1;2.637;0.058
36;80;1.8;229.5;2.21;0.064
36;80;1.9;226.1;1.875;0.069
36;80;2;222.8;1.609;0.075
36;80;2.1;219.7;1.394;0.08
36;80;2.2;216.8;1.218;0.084
36;80;2.3;213.9;1.071;0.089
36;80;2.4;211.2;0.948;0.093
36;80;2.5;208.6;0.844;0.097
36;80;3;197;0.504;0.115
36;80;4;179.5;0.223;0.142
36;80;5;166.6;0.116;0.161
36;80;10;132.2;0.007;0.209
36;90;0;325.2;5;0.01
36;90;0.1;324.8;5;0.01
36;90;0.2;324.1;5;0.01
36;90;0.3;323;5;0.01
36;90;0.4;321.3;5;0.01
36;90;0.5;319.1;5;0.01
36;90;0.6;316.2;5;0.01
36;90;0.7;312.7;5;0.01
36;90;0.8;308.6;5;0.01
36;90;0.9;303.8;5;0.01
36;90;1;298.9;5;0.01
36;90;1.1;293.7;5;0.013
36;90;1.2;288.5;5;0.019
36;90;1.3;283.3;5;0.026
36;90;1.4;278.4;5;0.033
36;90;1.5;273.6;5;0.04
36;90;1.6;269.1;3.957;0.046
36;90;1.7;264.7;3.199;0.052
36;90;1.8;260.5;2.637;0.058
36;90;1.9;256.5;2.21;0.064
36;90;2;252.7;1.875;0.069
36;90;2.1;249.1;1.609;0.075
36;90;2.2;245.6;1.394;0.08
36;90;2.3;242.3;1.218;0.084
36;90;2.4;239.1;1.071;0.089
36;90;2.5;236.1;0.948;0.093
36;90;3;222.7;0.555;0.112
36;90;4;202.3;0.24;0.14
36;90;5;187.5;0.123;0.159
36;90;10;148.1;0.008;0.209
36;100;0;362;5;0.01
36;100;0.1;361.6;5;0.01
36;100;0.2;360.9;5;0.01
36;100;0.3;359.8;5;0.01
36;100;0.4;358.1;5;0.01
36;100;0.5;355.9;5;0.01
36;100;0.6;353;5;0.01
36;100;0.7;349.5;5;0.01
36;100;0.8;345.4;5;0.01
36;100;0.9;340.6;5;0.01
36;100;1;335.3;5;0.01
36;100;1.1;329.7;5;0.01
36;100;1.2;324;5;0.013
36;100;1.3;318.2;5;0.019
36;100;1.4;312.6;5;0.026
36;100;1.5;307.1;5;0.033
36;100;1.6;301.9;5;0.04
36;100;1.7;296.9;3.957;0.046
36;100;1.8;292.1;3.199;0.052
36;100;1.9;287.5;2.637;0.058
36;100;2;283.1;2.21;0.064
36;100;2.1;278.9;1.875;0.069
36;100;2.2;274.9;1.609;0.075
36;100;2.3;271.1;1.394;0.08
36;100;2.4;267.5;1.218;0.084
36;100;2.5;264;1.071;0.089
36;100;3;248.6;0.612;0.108
36;100;4;225.4;0.258;0.137
36;100;5;208.6;0.131;0.158
36;100;10;164;0.008;0.208
37;10;0;33.6;5;0.01
37;10;0.1;33.2;5;0.01
37;10;0.2;32.8;5;0.01
37;10;0.3;32.4;5;0.013
37;10;0.4;31.9;5;0.019
37;10;0.5;31.4;3.972;0.026
37;10;0.6;30.9;3.172;0.031
37;10;0.7;30.5;2.583;0.037
37;10;0.8;30.1;2.136;0.042
37;10;0.9;29.7;1.788;0.048
37;10;1;29.3;1.513;0.053
37;10;1.1;29;1.293;0.058
37;10;1.2;28.6;1.115;0.062
37;10;1.3;28.3;0.97;0.067
37;10;1.4;28;0.85;0.071
37;10;1.5;27.7;0.749;0.075
37;10;1.6;27.5;0.665;0.079
37;10;1.7;27.2;0.593;0.082
37;10;1.8;27;0.532;0.086
37;10;1.9;26.7;0.479;0.089
37;10;2;26.5;0.433;0.092
37;10;2.1;26.3;0.394;0.095
37;10;2.2;26.1;0.359;0.098
37;10;2.3;25.9;0.328;0.101
37;10;2.4;25.7;0.3;0.103
37;10;2.5;25.5;0.276;0.106
37;10;3;24.7;0.188;0.117
37;10;4;23.4;0.098;0.135
37;10;5;22.5;0.056;0.149
37;10;10;19.6;0.003;0.187
37;20;0;67.2;5;0.01
37;20;0.1;66.8;5;0.01
37;20;0.2;66;5;0.01
37;20;0.3;65.2;5;0.01
37;20;0.4;64.2;5;0.014
37;20;0.5;63.3;5;0.02
37;20;0.6;62.3;5;0.026
37;20;0.7;61.4;3.833;0.032
37;20;0.8;60.5;2.945;0.038
37;20;0.9;59.7;2.335;0.044
37;20;1;59;1.897;0.049
37;20;1.1;58.3;1.572;0.054
37;20;1.2;57.6;1.324;0.059
37;20;1.3;56.9;1.13;0.064
37;20;1.4;56.3;0.975;0.068
37;20;1.5;55.8;0.849;0.072
37;20;1.6;55.2;0.746;0.076
37;20;1.7;54.7;0.66;0.08
37;20;1.8;54.2;0.587;0.083
37;20;1.9;53.7;0.526;0.086
37;20;2;53.3;0.473;0.09
37;20;2.1;52.8;0.427;0.093
37;20;2.2;52.4;0.388;0.096
37;20;2.3;52;0.353;0.099
37;20;2.4;51.6;0.323;0.101
37;20;2.5;51.3;0.296;0.104
37;20;3;49.6;0.199;0.116
37;20;4;47;0.102;0.134
37;20;5;45;0.058;0.148
37;20;10;39.2;0.004;0.186
37;30;0;103.6;5;0.01
37;30;0.1;103.2;5;0.01
37;30;0.2;102.4;5;0.01
37;30;0.3;101.2;5;0.01
37;30;0.4;99.8;5;0.01
37;30;0.5;98.3;5;0.014
37;30;0.6;96.8;5;0.021
37;30;0.7;95.4;5;0.027
37;30;0.8;94;3.849;0.033
37;30;0.9;92.7;2.928;0.039
37;30;1;91.4;2.309;0.045
37;30;1.1;90.2;1.872;0.05
37;30;1.2;89.1;1.549;0.055
37;30;1.3;88.1;1.304;0.06
37;30;1.4;87.1;1.113;0.064
37;30;1.5;86.1;0.96;0.068
37;30;1.6;85.2;0.837;0.072
37;30;1.7;84.4;0.735;0.076
37;30;1.8;83.5;0.65;0.08
37;30;1.9;82.8;0.579;0.084
37;30;2;82;0.519;0.087
37;30;2.1;81.3;0.467;0.09
37;30;2.2;80.6;0.422;0.093
37;30;2.3;80;0.383;0.096
37;30;2.4;79.3;0.349;0.099
37;30;2.5;78.7;0.319;0.102
37;30;3;76;0.212;0.114
37;30;4;71.8;0.108;0.132
37;30;5;68.6;0.061;0.147
37;30;10;59.3;0.004;0.186
37;40;0;142.8;5;0.01
37;40;0.1;142.4;5;0.01
37;40;0.2;141.6;5;0.01
37;40;0.3;140.4;5;0.01
37;40;0.4;138.6;5;0.01
37;40;0.5;136.7;5;0.01
37;40;0.6;134.6;5;0.014
37;40;0.7;132.5;5;0.021
37;40;0.8;130.5;5;0.027
37;40;0.9;128.5;3.849;0.033
37;40;1;126.7;2.928;0.039
37;40;1.1;125;2.309;0.045
37;40;1.2;123.3;1.872;0.05
37;40;1.3;121.8;1.549;0.055
37;40;1.4;120.3;1.304;0.06
37;40;1.5;118.9;1.113;0.064
37;40;1.6;117.6;0.96;0.068
37;40;1.7;116.3;0.837;0.072
37;40;1.8;115.1;0.735;0.076
37;40;1.9;114;0.65;0.08
37;40;2;112.9;0.579;0.084
37;40;2.1;111.8;0.519;0.087
37;40;2.2;110.8;0.467;0.09
37;40;2.3;109.9;0.422;0.093
37;40;2.4;108.9;0.383;0.096
37;40;2.5;108;0.349;0.099
37;40;3;104.1;0.229;0.111
37;40;4;97.9;0.115;0.131
37;40;5;93.3;0.064;0.145
37;40;10;79.9;0.004;0.185
37;50;0;182;5;0.01
37;50;0.1;181.6;5;0.01
37;50;0.2;180.8;5;0.01
37;50;0.3;179.6;5;0.01
37;50;0.4;177.8;5;0.01
37;50;0.5;175.5;5;0.01
37;50;0.6;172.9;5;0.01
37;50;0.7;170.3;5;0.014
37;50;0.8;167.6;5;0.021
37;50;0.9;165.1;5;0.027
37;50;1;162.6;3.849;0.033
37;50;1.1;160.3;2.928;0.039
37;50;1.2;158.1;2.309;0.045
37;50;1.3;156;1.872;0.05
37;50;1.4;154;1.549;0.055
37;50;1.5;152.1;1.304;0.06
37;50;1.6;150.4;1.113;0.064
37;50;1.7;148.7;0.96;0.068
37;50;1.8;147.1;0.837;0.072
37;50;1.9;145.5;0.735;0.076
37;50;2;144.1;0.65;0.08
37;50;2.1;142.7;0.579;0.084
37;50;2.2;141.3;0.519;0.087
37;50;2.3;140;0.467;0.09
37;50;2.4;138.8;0.422;0.093
37;50;2.5;137.6;0.383;0.096
37;50;3;132.4;0.248;0.109
37;50;4;124.2;0.122;0.129
37;50;5;118;0.068;0.144
37;50;10;100.6;0.004;0.185
37;60;0;221.2;5;0.01
37;60;0.1;220.8;5;0.01
37;60;0.2;220;5;0.01
37;60;0.3;218.8;5;0.01
37;60;0.4;217;5;0.01
37;60;0.5;214.7;5;0.01
37;60;0.6;211.7;5;0.01
37;60;0.7;208.6;5;0.01
37;60;0.8;205.4;5;0.014
37;60;0.9;202.2;5;0.021
37;60;1;199.1;5;0.027
37;60;1.1;196.2;3.849;0.033
37;60;1.2;193.4;2.928;0.039
37;60;1.3;190.7;2.309;0.045
37;60;1.4;188.2;1.872;0.05
37;60;1.5;185.9;1.549;0.055
37;60;1.6;183.6;1.304;0.06
37;60;1.7;181.4;1.113;0.064
37;60;1.8;179.4;0.96;0.068
37;60;1.9;177.5;0.837;0.072
37;60;2;175.6;0.735;0.076
37;60;2.1;173.9;0.65;0.08
37;60;2.2;172.2;0.579;0.084
37;60;2.3;170.5;0.519;0.087
37;60;2.4;169;0.467;0.09
37;60;2.5;167.5;0.422;0.093
37;60;3;160.9;0.269;0.107
37;60;4;150.7;0.13;0.127
37;60;5;143;0.072;0.143
37;60;10;121.3;0.005;0.184
37;70;0;260.4;5;0.01
37;70;0.1;260;5;0.01
37;70;0.2;259.2;5;0.01
37;70;0.3;258;5;0.01
37;70;0.4;256.2;5;0.01
37;70;0.5;253.9;5;0.01
37;70;0.6;250.9;5;0.01
37;70;0.7;247.4;5;0.01
37;70;0.8;243.7;5;0.01
37;70;0.9;239.9;5;0.014
37;70;1;236.2;5;0.021
37;70;1.1;232.7;5;0.027
37;70;1.2;229.3;3.849;0.033
37;70;1.3;226.1;2.928;0.039
37;70;1.4;223;2.309;0.045
37;70;1.5;220.1;1.872;0.05
37;70;1.6;217.3;1.549;0.055
37;70;1.7;214.7;1.304;0.06
37;70;1.8;212.2;1.113;0.064
37;70;1.9;209.8;0.96;0.068
37;70;2;207.6;0.837;0.072
37;70;2.1;205.4;0.735;0.076
37;70;2.2;203.4;0.65;0.08
37;70;2.3;201.4;0.579;0.084
37;70;2.4;199.5;0.519;0.087
37;70;2.5;197.7;0.467;0.09
37;70;3;189.7;0.292;0.104
37;70;4;177.3;0.139;0.126
37;70;5;168;0.076;0.141
37;70;10;142.1;0.005;0.184
37;80;0;299.6;5;0.01
37;80;0.1;299.2;5;0.01
37;80;0.2;298.4;5;0.01
37;80;0.3;297.2;5;0.01
37;80;0.4;295.4;5;0.01
37;80;0.5;293.1;5;0.01
37;80;0.6;290.1;5;0.01
37;80;0.7;286.6;5;0.01
37;80;0.8;282.5;5;0.01
37;80;0.9;278.3;5;0.01
37;80;1;274;5;0.014
37;80;1.1;269.8;5;0.021
37;80;1.2;265.8;5;0.027
37;80;1.3;261.9;3.849;0.033
37;80;1.4;258.3;2.928;0.039
37;80;1.5;254.8;2.309;0.045
37;80;1.6;251.5;1.872;0.05
37;80;1.7;248.4;1.549;0.055
37;80;1.8;245.4;1.304;0.06
37;80;1.9;242.6;1.113;0.064
37;80;2;239.9;0.96;0.068
37;80;2.1;237.4;0.837;0.072
37;80;2.2;234.9;0.735;0.076
37;80;2.3;232.6;0.65;0.08
37;80;2.4;230.3;0.579;0.084
37;80;2.5;228.2;0.519;0.087
37;80;3;218.7;0.319;0.102
37;80;4;204.1;0.148;0.124
37;80;5;193.2;0.08;0.14
37;80;10;162.9;0.006;0.183
37;90;0;338.8;5;0.01
37;90;0.1;338.4;5;0.01
37;90;0.2;337.6;5;0.01
37;90;0.3;336.4;5;0.01
37;90;0.4;334.6;5;0.01
37;90;0.5;332.3;5;0.01
37;90;0.6;329.3;5;0.01
37;90;0.7;325.8;5;0.01
37;90;0.8;321.7;5;0.01
37;90;0.9;317.1;5;0.01
37;90;1;312.4;5;0.01
37;90;1.1;307.6;5;0.014
37;90;1.2;302.9;5;0.021
37;90;1.3;298.5;5;0.027
37;90;1.4;294.2;3.849;0.033
37;90;1.5;290.1;2.928;0.039
37;90;1.6;286.3;2.309;0.045
37;90;1.7;282.6;1.872;0.05
37;90;1.8;279.2;1.549;0.055
37;90;1.9;275.9;1.304;0.06
37;90;2;272.7;1.113;0.064
37;90;2.1;269.7;0.96;0.068
37;90;2.2;266.9;0.837;0.072
37;90;2.3;264.1;0.735;0.076
37;90;2.4;261.5;0.65;0.08
37;90;2.5;259;0.579;0.084
37;90;3;248;0.349;0.099
37;90;4;231.1;0.159;0.122
37;90;5;218.6;0.085;0.139
37;90;10;183.8;0.006;0.182
37;100;0;378;5;0.01
37;100;0.1;377.6;5;0.01
37;100;0.2;376.8;5;0.01
37;100;0.3;375.6;5;0.01
37;100;0.4;373.8;5;0.01
37;100;0.5;371.5;5;0.01
37;100;0.6;368.5;5;0.01
37;100;0.7;365;5;0.01
37;100;0.8;360.9;5;0.01
37;100;0.9;356.3;5;0.01
37;100;1;351.1;5;0.01
37;100;1.1;345.9;5;0.01
37;100;1.2;340.7;5;0.014
37;100;1.3;335.6;5;0.021
37;100;1.4;330.7;5;0.027
37;100;1.5;326;3.849;0.033
37;100;1.6;321.6;2.928;0.039
37;100;1.7;317.4;2.309;0.045
37;100;1.8;313.4;1.872;0.05
37;100;1.9;309.6;1.549;0.055
37;100;2;306;1.304;0.06
37;100;2.1;302.5;1.113;0.064
37;100;2.2;299.2;0.96;0.068
37;100;2.3;296.1;0.837;0.072
37;100;2.4;293.1;0.735;0.076
37;100;2.5;290.2;0.65;0.08
37;100;3;277.6;0.383;0.096
37;100;4;258.3;0.17;0.12
37;100;5;244.1;0.09;0.137
37;100;10;204.8;0.007;0.182
38;10;0;44;5;0.01
38;10;0.1;43.3;5;0.01
38;10;0.2;42.2;5;0.018
38;10;0.3;41.3;2.463;0.021
38;10;0.4;40.6;1.576;0.023
38;10;0.5;40.1;1.028;0.027
38;10;0.6;39.6;0.746;0.029
38;10;0.7;39.2;0.571;0.033
38;10;0.8;38.8;0.453;0.036
38;10;0.9;38.5;0.369;0.039
38;10;1;38.2;0.307;0.042
38;10;1.1;38;0.259;0.045
38;10;1.2;37.7;0.222;0.047
38;10;1.3;37.5;0.192;0.05
38;10;1.4;37.3;0.168;0.052
38;10;1.5;37.1;0.148;0.054
38;10;1.6;36.9;0.132;0.057
38;10;1.7;36.8;0.117;0.059
38;10;1.8;36.6;0.106;0.06
38;10;1.9;36.5;0.095;0.062
38;10;2;36.3;0.086;0.064
38;10;2.1;36.2;0.079;0.066
38;10;2.2;36.1;0.072;0.067
38;10;2.3;36;0.066;0.069
38;10;2.4;35.8;0.061;0.07
38;10;2.5;35.7;0.056;0.072
38;10;3;35.2;0.039;0.078
38;10;4;34.5;0.021;0.089
38;10;5;33.9;0.012;0.097
38;10;10;32.1;0.001;0.121
38;20;0;88;5;0.01
38;20;0.1;87.3;5;0.01
38;20;0.2;85.4;5;0.01
38;20;0.3;83.5;5;0.012
38;20;0.4;81.9;3.472;0.016
38;20;0.5;80.7;1.805;0.021
38;20;0.6;79.7;1.143;0.025
38;20;0.7;78.8;0.802;0.029
38;20;0.8;78;0.6;0.032
38;20;0.9;77.4;0.468;0.036
38;20;1;76.8;0.377;0.039
38;20;1.1;76.2;0.311;0.042
38;20;1.2;75.7;0.261;0.045
38;20;1.3;75.3;0.223;0.048
38;20;1.4;74.8;0.192;0.05
38;20;1.5;74.4;0.168;0.053
38;20;1.6;74.1;0.148;0.055
38;20;1.7;73.7;0.131;0.057
38;20;1.8;73.4;0.117;0.059
38;20;1.9;73.1;0.105;0.061
38;20;2;72.8;0.095;0.063
38;20;2.1;72.5;0.086;0.064
38;20;2.2;72.3;0.078;0.066
38;20;2.3;72;0.072;0.068
38;20;2.4;71.8;0.065;0.069
38;20;2.5;71.6;0.06;0.071
38;20;3;70.6;0.041;0.077
38;20;4;69;0.022;0.088
38;20;5;67.8;0.013;0.096
38;20;10;64.3;0.001;0.12
38;30;0;132.8;5;0.01
38;30;0.1;132.1;5;0.01
38;30;0.2;130.2;5;0.01
38;30;0.3;127.6;5;0.01
38;30;0.4;125.3;5;0.01
38;30;0.5;123.4;3.828;0.015
38;30;0.6;121.8;1.872;0.02
38;30;0.7;120.4;1.156;0.024
38;30;0.8;119.2;0.803;0.029
38;30;0.9;118.1;0.598;0.032
38;30;1;117.2;0.466;0.036
38;30;1.1;116.3;0.375;0.039
38;30;1.2;115.5;0.309;0.042
38;30;1.3;114.8;0.26;0.045
38;30;1.4;114.1;0.222;0.048
38;30;1.5;113.5;0.191;0.05
38;30;1.6;112.9;0.167;0.053
38;30;1.7;112.4;0.147;0.055
38;30;1.8;111.8;0.13;0.057
38;30;1.9;111.3;0.116;0.059
38;30;2;110.9;0.104;0.061
38;30;2.1;110.4;0.094;0.063
38;30;2.2;110;0.086;0.065
38;30;2.3;109.6;0.078;0.066
38;30;2.4;109.2;0.071;0.068
38;30;2.5;108.9;0.065;0.069
38;30;3;107.3;0.044;0.076
38;30;4;104.7;0.023;0.087
38;30;5;102.8;0.014;0.095
38;30;10;97.1;0.001;0.12
38;40;0;178.4;5;0.01
38;40;0.1;177.7;5;0.01
38;40;0.2;175.8;5;0.01
38;40;0.3;173.2;5;0.01
38;40;0.4;170.5;5;0.01
38;40;0.5;168.1;5;0.01
38;40;0.6;165.9;3.828;0.015
38;40;0.7;164;1.872;0.02
38;40;0.8;162.4;1.156;0.024
38;40;0.9;160.9;0.803;0.029
38;40;1;159.6;0.598;0.032
38;40;1.1;158.3;0.466;0.036
38;40;1.2;157.2;0.375;0.039
38;40;1.3;156.2;0.309;0.042
38;40;1.4;155.2;0.26;0.045
38;40;1.5;154.3;0.222;0.048
38;40;1.6;153.5;0.191;0.05
38;40;1.7;152.7;0.167;0.053
38;40;1.8;151.9;0.147;0.055
38;40;1.9;151.2;0.13;0.057
38;40;2;150.6;0.116;0.059
38;40;2.1;149.9;0.104;0.061
38;40;2.2;149.3;0.094;0.063
38;40;2.3;148.8;0.086;0.065
38;40;2.4;148.2;0.078;0.066
38;40;2.5;147.7;0.071;0.068
38;40;3;145.4;0.048;0.075
38;40;4;141.7;0.025;0.086
38;40;5;139;0.014;0.095
38;40;10;130.7;0.001;0.12
38;50;0;224;5;0.01
38;50;0.1;223.3;5;0.01
38;50;0.2;221.4;5;0.01
38;50;0.3;218.8;5;0.01
38;50;0.4;216.1;5;0.01
38;50;0.5;213.2;5;0.01
38;50;0.6;210.6;5;0.01
38;50;0.7;208.2;3.828;0.015
38;50;0.8;206;1.872;0.02
38;50;0.9;204.1;1.156;0.024
38;50;1;202.3;0.803;0.029
38;50;1.1;200.7;0.598;0.032
38;50;1.2;199.2;0.466;0.036
38;50;1.3;197.8;0.375;0.039
38;50;1.4;196.6;0.309;0.042
38;50;1.5;195.4;0.26;0.045
38;50;1.6;194.3;0.222;0.048
38;50;1.7;193.3;0.191;0.05
38;50;1.8;192.3;0.167;0.053
38;50;1.9;191.4;0.147;0.055
38;50;2;190.5;0.13;0.057
38;50;2.1;189.6;0.116;0.059
38;50;2.2;188.8;0.104;0.061
38;50;2.3;188.1;0.094;0.063
38;50;2.4;187.4;0.086;0.065
38;50;2.5;186.7;0.078;0.066
38;50;3;183.6;0.051;0.074
38;50;4;178.8;0.026;0.085
38;50;5;175.2;0.015;0.094
38;50;10;164.4;0.001;0.119
38;60;0;269.6;5;0.01
38;60;0.1;268.9;5;0.01
38;60;0.2;267;5;0.01
38;60;0.3;264.4;5;0.01
38;60;0.4;261.7;5;0.01
38;60;0.5;258.8;5;0.01
38;60;0.6;255.8;5;0.01
38;60;0.7;252.8;5;0.01
38;60;0.8;250.1;3.828;0.015
38;60;0.9;247.7;1.872;0.02
38;60;1;245.5;1.156;0.024
38;60;1.1;243.4;0.803;0.029
38;60;1.2;241.6;0.598;0.032
38;60;1.3;239.9;0.466;0.036
38;60;1.4;238.3;0.375;0.039
38;60;1.5;236.8;0.309;0.042
38;60;1.6;235.4;0.26;0.045
38;60;1.7;234.1;0.222;0.048
38;60;1.8;232.8;0.191;0.05
38;60;1.9;231.7;0.167;0.053
38;60;2;230.6;0.147;0.055
38;60;2.1;229.5;0.13;0.057
38;60;2.2;228.5;0.116;0.059
38;60;2.3;227.6;0.104;0.061
38;60;2.4;226.7;0.094;0.063
38;60;2.5;225.8;0.086;0.065
38;60;3;222;0.055;0.072
38;60;4;216;0.028;0.084
38;60;5;211.4;0.016;0.093
38;60;10;198.1;0.001;0.119
38;70;0;315.2;5;0.01
38;70;0.1;314.5;5;0.01
38;70;0.2;312.6;5;0.01
38;70;0.3;310;5;0.01
38;70;0.4;307.3;5;0.01
38;70;0.5;304.4;5;0.01
38;70;0.6;301.4;5;0.01
38;70;0.7;298;5;0.01
38;70;0.8;294.8;5;0.01
38;70;0.9;291.8;3.828;0.015
38;70;1;289.1;1.872;0.02
38;70;1.1;286.6;1.156;0.024
38;70;1.2;284.3;0.803;0.029
38;70;1.3;282.2;0.598;0.032
